file_name,function_name,complexity,tokens,triaged_out,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct
jacobi-2d.bc,polybench_alloc_data,1,3263,True,,,,pending,22,22,0.0
jacobi-2d.bc,xmalloc,3,3528,True,,,,pending,34,34,0.0
jacobi-2d.bc,main,2,4544,True,,,,pending,82,82,0.0
jacobi-2d.bc,init_array,3,4073,True,,,,pending,71,71,0.0
jacobi-2d.bc,kernel_jacobi_2d,6,6148,False,ollama/qwen2.5-coder:3b,,,pending,191,191,0.0
jacobi-2d.bc,kernel_jacobi_2d_StrictFP,6,6148,False,ollama/qwen2.5-coder:3b,20.714,,syntax_fail,191,191,0.0
jacobi-2d.bc,check_FP,5,4640,False,ollama/qwen2.5-coder:3b,,,pending,98,98,0.0
jacobi-2d.bc,print_array,3,4010,True,,,,pending,65,65,0.0
jacobi-2d.bc,rtclock,1,2935,True,,,,pending,1,1,0.0
jacobi-2d.bc,print_element,1,6276,True,,,,pending,203,203,0.0
jacobi-1d.bc,polybench_flush_cache,2,3501,True,,,,pending,40,40,0.0
jacobi-1d.bc,polybench_prepare_instruments,1,2843,True,,,,pending,2,2,0.0
jacobi-1d.bc,polybench_timer_start,1,2871,True,,,,pending,4,4,0.0
jacobi-1d.bc,polybench_timer_stop,1,2861,True,,,,pending,3,3,0.0
jacobi-1d.bc,polybench_timer_print,1,2911,True,,,,pending,5,5,0.0
jacobi-1d.bc,polybench_free_data,1,2887,True,,,,pending,5,5,0.0
jacobi-1d.bc,polybench_alloc_data,1,3171,True,,,,pending,22,22,0.0
jacobi-1d.bc,xmalloc,3,3436,True,,,,pending,34,34,0.0
jacobi-1d.bc,main,2,4405,True,,,,pending,82,82,0.0
jacobi-1d.bc,init_array,2,3498,True,,,,pending,43,43,0.0
jacobi-1d.bc,kernel_jacobi_1d,4,4425,True,,,,pending,100,100,0.0
jacobi-1d.bc,kernel_jacobi_1d_StrictFP,4,4425,True,,,,pending,100,100,0.0
jacobi-1d.bc,check_FP,4,4133,True,,,,pending,76,76,0.0
jacobi-1d.bc,print_array,2,3613,True,,,,pending,48,48,0.0
jacobi-1d.bc,rtclock,1,2843,True,,,,pending,1,1,0.0
jacobi-1d.bc,print_element,1,6184,True,,,,pending,203,203,0.0
heat-3d.bc,polybench_flush_cache,2,3396,True,,,,pending,40,40,0.0
heat-3d.bc,polybench_prepare_instruments,1,2738,True,,,,pending,2,2,0.0
heat-3d.bc,polybench_timer_start,1,2766,True,,,,pending,4,4,0.0
heat-3d.bc,polybench_timer_stop,1,2756,True,,,,pending,3,3,0.0
heat-3d.bc,polybench_timer_print,1,2806,True,,,,pending,5,5,0.0
heat-3d.bc,polybench_free_data,1,2782,True,,,,pending,5,5,0.0
heat-3d.bc,polybench_alloc_data,1,3066,True,,,,pending,22,22,0.0
heat-3d.bc,xmalloc,3,3331,True,,,,pending,34,34,0.0
heat-3d.bc,main,1,3738,True,,,,pending,53,53,0.0
heat-3d.bc,init_array,4,4126,True,,,,pending,83,83,0.0
heat-3d.bc,kernel_heat_3d,8,9515,False,ollama/qwen2.5-coder:7b,66.114,,syntax_fail,377,377,0.0
heat-3d.bc,print_array,4,4117,True,,,,pending,82,82,0.0
heat-3d.bc,rtclock,1,2738,True,,,,pending,1,1,0.0
heat-3d.bc,print_element,1,6079,True,,,,pending,203,203,0.0
